1,Two Sum,38.40%,Easy,
2,Add Two Numbers,28.90%,Medium,
3,Longest Substring Without Repeating Characters,24.80%,Medium,
4,Median of Two Sorted Arrays,23.30%,Hard,
5,Longest Palindromic Substring,25.50%,Medium,
6,ZigZag Conversion,27.80%,Medium,
7,Reverse Integer,24.40%,Easy,
8,String to Integer (atoi),14.10%,Medium,
9,Palindrome Number,36.80%,Easy,
10,Regular Expression Matching,24.40%,Hard,
11,Container With Most Water,37.30%,Medium,
12,Integer to Roman,46.80%,Medium,
13,Roman to Integer,48.60%,Easy,
14,Longest Common Prefix,31.70%,Easy,
15,3Sum,21.80%,Medium,
16,3Sum Closest,32.00%,Medium,
17,Letter Combinations of a Phone Number,37.10%,Medium,
18,4Sum,27.80%,Medium,
19,Remove Nth Node From End of List,33.90%,Medium,
20,Valid Parentheses,34.20%,Easy,
21,Merge Two Sorted Lists,41.90%,Easy,
22,Generate Parentheses,48.80%,Medium,
23,Merge k Sorted Lists,28.90%,Hard,
24,Swap Nodes in Pairs,39.70%,Medium,
25,Reverse Nodes in k-Group,32.30%,Hard,
26,Remove Duplicates from Sorted Array,37.00%,Easy,
27,Remove Element,41.20%,Easy,
28,Implement strStr(),29.30%,Easy,
29,Divide Two Integers,15.70%,Medium,
30,Substring with Concatenation of All Words,22.30%,Hard,
31,Next Permutation,29.10%,Medium,
32,Longest Valid Parentheses,23.40%,Hard,
33,Search in Rotated Sorted Array,32.00%,Medium,
34,Search for a Range,31.70%,Medium,
35,Search Insert Position,40.00%,Easy,
36,Valid Sudoku,38.30%,Medium,
37,Sudoku Solver,32.60%,Hard,
38,Count and Say,37.10%,Easy,
39,Combination Sum,42.20%,Medium,
40,Combination Sum II,36.70%,Medium,
41,First Missing Positive,26.20%,Hard,
42,Trapping Rain Water,38.10%,Hard,
43,Multiply Strings,28.20%,Medium,
44,Wildcard Matching,21.20%,Hard,
45,Jump Game II,26.10%,Hard,
46,Permutations,48.30%,Medium,
47,Permutations II,35.70%,Medium,
48,Rotate Image,42.60%,Medium,
49,Group Anagrams,39.50%,Medium,
50,"Pow(x, n)",26.20%,Medium,
51,N-Queens,33.90%,Hard,
52,N-Queens II,47.40%,Hard,
53,Maximum Subarray,40.60%,Easy,
54,Spiral Matrix,27.60%,Medium,
55,Jump Game,29.80%,Medium,
56,Merge Intervals,32.40%,Medium,
